Order ID,Customer,Item,Qty,Unit Price,Total,Notes
O-1094,Customer 94,Product 4,4,46.00,184.00
O-1095,Customer 95,Product 5,5,47.00,235.00
O-1096,Customer 96,Product 6,6,48.00,288.00
O-1097,Customer 97,Product 7,7,49.00,343.00
O-1098,Customer 98,Product 8,1,50.00,50.00
O-1099,Customer 99,Product 9,2,51.00,102.00
O-1100,Customer 100,Product 0,3,2.00,6.00
O-1101,Customer 101,Product 1,4,3.00,12.00
O-1102,Customer 102,Product 2,5,4.00,20.00
O-1103,Customer 103,Product 3,6,5.00,30.00
O-1104,Customer 104,Product 4,7,6.00,42.00
O-1105,Customer 105,Product 5,1,7.00,7.00
O-1106,Customer 106,Product 6,2,8.00,16.00
O-1107,Customer 107,Product 7,3,9.00,27.00
O-1108,Customer 108,Product 8,4,10.00,40.00
O-1109,Customer 109,Product 9,5,11.00,55.00
Order ID,Customer,Item,Qty,Unit Price,Total,Notes
O-1110,Customer 110,Product 0,6,12.00,72.00
O-1111,Customer 111,Product 1,7,13.00,91.00
O-1112,Customer 112,Product 2,1,14.00,14.00
O-1113,Customer 113,Product 3,2,15.00,30.00
O-1114,Customer 114,Product 4,3,16.00,48.00
O-1115,Customer 115,Product 5,4,17.00,68.00
O-1116,Customer 116,Product 6,5,18.00,90.00
O-1117,Customer 117,Product 7,6,19.00,114.00
O-1118,Customer 118,Product 8,7,20.00,140.00
O-1119,Customer 119,Product 9,1,21.00,21.00
